symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
NEARUSDT,2022-01-14T00:00:00.000000,2022-02-07T00:00:00.000000,20.1789,13.495,4955.671518269083,100000.0,-30094.613529088932,-30.09461352908893,576.0,29.999999999999996,20.98691201487778,50.986912014877774
MANAUSDT,2022-01-27T00:00:00.000000,2022-02-07T00:00:00.000000,2.2503,3.2842,26359.89281738263,59317.66680695614,27209.726535852544,45.87120161756207,264.0,17.79530004208684,25.971347997254405,43.76664803934125
LTCUSDT,2022-01-17T00:00:00.000000,2022-02-08T00:00:00.000000,151.09,133.6,542.0631495345805,88330.49580829471,-15959.084070250598,-18.067468006617883,528.0,26.499148742488412,21.725891033345984,48.2250397758344
VETUSDT,2022-02-07T00:00:00.000000,2022-02-08T00:00:00.000000,0.06772,0.06429,1098694.4463248155,74403.58790511651,-3812.0335470519244,-5.123453927938578,24.0,22.32107637153495,21.190519786266716,43.51159615780166
ETCUSDT,2022-01-18T00:00:00.000000,2022-02-08T00:00:00.000000,32.634,32.041,2279.1725503175526,87925.29521929049,-14946.61321343701,-16.999218684633743,504.0,26.377588565787146,21.908090305417403,48.28567887120455
MATICUSDT,2022-01-14T00:00:00.000000,2022-02-08T00:00:00.000000,2.3336,1.9396,36884.586508584434,100000.0,-28510.118411147243,-28.510118411147246,600.0,29.999999999999996,21.46240319761511,51.4624031976151
TLMUSDT,2022-02-08T00:00:00.000000,2022-02-09T00:00:00.000000,0.1373,0.1392,523352.37094435014,71856.28053065928,950.9574256244263,1.3234158776401967,24.0,21.556884159197782,21.85519501063606,43.412079169833845
CHRUSDT,2022-01-15T00:00:00.000000,2022-02-09T00:00:00.000000,0.8646,0.6307,110300.7917324403,95366.06453186789,-25445.376522220806,-26.68179362032695,600.0,28.609819359560365,20.991086674704402,49.60090603426477
SANDUSDT,2022-01-27T00:00:00.000000,2022-02-09T00:00:00.000000,3.382,4.7092,14945.46070647461,59317.666806956135,11024.58710286433,18.585672188932904,312.0,17.79530004208684,21.11434906767907,38.90964910976591
ALICEUSDT,2022-02-05T00:00:00.000000,2022-02-09T00:00:00.000000,8.231,8.934,8045.575819449514,66223.13456988895,5614.609108390744,8.478319766735499,96.0,19.866940370966685,21.56375231128858,41.43069268225527
MATICUSDT,2022-01-14T00:00:00.000000,2022-02-10T00:00:00.000000,2.3336,1.8937,34983.97899819818,100000.0,-33800.71371942078,-33.800713719420784,648.0,29.999999999999996,19.874748308666366,49.87474830866636
