symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
1000PEPEUSDT,2023-07-03T00:00:00.000000,2023-07-10T00:00:00.000000,0.0015921,0.0015017,628101249.9214873,1000000.0,-57363.318887004636,-5.736331888700463,168.0,300.0,282.9658941021292,582.9658941021291
ETHBUSD,2023-08-21T00:00:00.000000,2023-08-28T00:00:00.000000,1665.08,1642.18,600.5717443005742,1000000.0000000001,-14348.96701659981,-1.434896701659981,168.0,300.0,295.87407211665504,595.874072116655
1000BONKUSDT,2024-01-15T00:00:00.000000,2024-01-22T00:00:00.000000,0.01438,0.01066,69541029.20723227,1000000.0,-259215.02086230877,-25.921502086230873,168.0,300.0,222.39221140472876,522.3922114047288
BLURUSDT,2024-01-22T00:00:00.000000,2024-01-29T00:00:00.000000,0.6014,0.6612,1662786.8307283006,1000000.0000000001,98804.82208180903,9.880482208180903,168.0,300.0,329.8303957432657,629.8303957432656
LPTUSDT,2023-09-11T00:00:00.000000,2024-02-19T00:00:00.000000,5.961,17.193,167757.0877369569,1000000.0000000001,1883082.3351786614,188.3082335178661,3864.0,300.0,865.2742828384498,1165.2742828384498
AGIXUSDT,2023-06-05T00:00:00.000000,2024-02-26T00:00:00.000000,0.2533,0.7104,1973943.939992104,500000.0,901719.0880378995,180.3438176075799,6384.0,150.0,420.68693249111715,570.6869324911172
1000BONKUSDT,2024-01-15T00:00:00.000000,2024-05-27T00:00:00.000000,0.01438,0.039197,39419741.40649637,1000000.0,544372.0632292652,54.437206322926514,3192.0,300.0,463.5406811731314,763.5406811731314
NEARUSDT,2024-07-29T00:00:00.000000,2024-08-05T00:00:00.000000,5.327,3.275,187722.9209686503,1000000.0000000001,-385691.8715975221,-38.569187159752204,168.0,300.0,184.4377698516989,484.43776985169893
ETHUSDT,2024-08-12T00:00:00.000000,2024-08-19T00:00:00.000000,2546.29,2572.64,392.728243837112,1000000.0,9745.284708340318,0.9745284708340317,168.0,300.0,303.10451676753235,603.1045167675323
OPUSDT,2024-08-26T00:00:00.000000,2024-09-02T00:00:00.000000,1.4838,1.4097,673945.2756436177,1000000.0,-50524.36312171451,-5.052436312171451,168.0,300.0,285.01819652244234,585.0181965224424
BTCUSDC,2024-09-16T00:00:00.000000,2024-09-23T00:00:00.000000,58885.9,63733.9,16.981993991770526,1000000.0,81704.00826004187,8.170400826004187,168.0,300.0,324.698612061631,624.698612061631
1000FLOKIUSDT,2024-12-02T00:00:00.000000,2024-12-16T00:00:00.000000,0.22445,0.23267,4455335.2639786145,1000000.0000000001,36011.86901314307,3.6011869013143065,336.0,300.0,310.9868567609712,610.9868567609712
FILUSDT,2022-11-21T00:00:00.000000,2024-12-30T00:00:00.000000,4.188,5.014,209467.95140343526,1000000.0,49657.22664432337,4.965722664432336,18480.0,300.0,315.0816925010473,615.0816925010473
FILUSDT,2022-11-21T00:00:00.000000,2025-02-17T00:00:00.000000,4.188,3.362,238777.45940783192,1000000.0,-13514.503816793867,-1.3514503816793868,19656.0,300.0,296.12448620082205,596.124486200822
ENAUSDT,2025-06-09T00:00:00.000000,2025-06-16T00:00:00.000000,0.3275,0.3077,3053435.1145038167,1000000.0,-61039.87786259559,-6.103987786259559,168.0,300.0,281.86259541984725,581.8625954198473
1000BONKUSDT,2024-01-15T00:00:00.000000,2025-08-25T00:00:00.000000,0.01438,0.021378,44029587.883057415,1000000.0,-59317.84959492771,-5.931784959492771,14112.0,300.0,282.3793589292004,582.3793589292004
