symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
AVAXUSDT,2022-05-11T00:00:00.000000,2023-03-24T00:00:00.000000,32.84,17.211,15225.334957369061,500000.0,518851.2851643468,103.77025703286935,7608.0,150.0,305.7921231862599,455.7921231862599
CFXUSDT,2023-04-02T00:00:00.000000,2023-04-03T00:00:00.000000,0.3857,0.3541,1296344.3090484834,500000.0,-41252.1908218822,-8.25043816437644,24.0,150.0,137.7106559502204,287.71065595022037
SXPUSDT,2023-04-02T00:00:00.000000,2023-04-03T00:00:00.000000,0.6786,0.8383,736811.0816386678,500000.0,117333.429118774,23.4666858237548,24.0,150.0,185.30061892130857,335.30061892130857
INJUSDT,2023-04-09T00:00:00.000000,2023-04-10T00:00:00.000000,5.682,5.658,87997.1840901091,500000.0,-2411.2988384371947,-0.48225976768743894,24.0,150.0,149.3664202745512,299.36642027455116
EOSUSDT,2023-04-09T00:00:00.000000,2023-04-10T00:00:00.000000,1.181,1.195,423370.0254022015,500000.0,5625.402201524126,1.1250804403048253,24.0,150.0,151.77815410668924,301.77815410668927
SOLUSDT,2022-03-21T00:00:00.000000,2023-04-14T00:00:00.000000,88.85,24.696,11254.924029262804,1000000.0,-11332.238423329447,-1.1332238423329448,9336.0,300.0,296.7793622816856,596.7793622816856
RNDRUSDT,2023-04-20T00:00:00.000000,2023-04-21T00:00:00.000000,1.9906,1.8619,502361.0971566362,1000000.0,-65234.47704209787,-6.5234477042097865,24.0,300.0,280.60383803878227,580.6038380387822
ATOMUSDT,2022-02-14T00:00:00.000000,2023-05-01T00:00:00.000000,25.801,11.263,19379.093833572344,500000.0,482022.112700628,96.4044225401256,10584.0,150.0,294.74005582693644,444.74005582693644
ADAUSDT,2022-09-23T00:00:00.000000,2023-05-02T00:00:00.000000,0.4535,0.3893,1280737.7049180327,1000000.0,-501858.38883196726,-50.18583888319672,5304.0,300.0,149.57735655737702,449.577356557377
LDOUSDT,2023-01-09T00:00:00.000000,2023-05-02T00:00:00.000000,1.9409,1.9538,254867.97838719544,500000.0,-2338.3321439494075,-0.46766642878988146,2712.0,150.0,149.3883168518707,299.38831685187074
BELUSDT,2023-05-02T00:00:00.000000,2023-05-03T00:00:00.000000,0.7007,0.6859,1427144.2842871414,1000000.0,-21715.398886827537,-2.1715398886827537,24.0,300.0,293.66347937776504,593.663479377765
OPUSDT,2023-05-05T00:00:00.000000,2023-05-06T00:00:00.000000,1.9795,1.8348,505178.0752715332,1000000.0,-73677.33771154328,-7.367733771154327,24.0,300.0,278.0702197524627,578.0702197524627
CFXUSDT,2023-04-02T00:00:00.000000,2023-05-09T00:00:00.000000,0.3857,0.2467,1296344.3090484834,500000.0,483599.4615077783,96.71989230155566,888.0,150.0,295.2134024730754,445.2134024730754
MASKUSDT,2023-05-09T00:00:00.000000,2023-05-10T00:00:00.000000,3.851,3.915,259672.81225655673,1000000.0,16014.074266424286,1.6014074266424285,24.0,300.0,304.98571799532584,604.9857179953258
BCHUSDT,2022-02-16T00:00:00.000000,2023-05-13T00:00:00.000000,335.92,113.65,1488.4496308644914,499999.99999999994,499462.0446947037,99.89240893894076,10824.0,149.99999999999997,299.9736054900581,449.97360549005805
GMTUSDT,2023-05-18T00:00:00.000000,2023-05-19T00:00:00.000000,0.281,0.2865,3558718.861209964,1000000.0,18967.081850533603,1.8967081850533603,24.0,300.0,305.87188612099635,605.8718861209964
STXUSDT,2023-05-20T00:00:00.000000,2023-05-21T00:00:00.000000,0.663,0.666,1508295.6259426847,1000000.0,3923.5294117646963,0.3923529411764696,24.0,300.0,301.3574660633484,601.3574660633484
ARBUSDT,2023-05-24T00:00:00.000000,2023-05-25T00:00:00.000000,1.1146,1.0959,897182.8458639871,1000000.0000000001,-17372.28602189121,-1.7372286021891208,24.0,300.0,294.96680423470303,594.966804234703
SUIUSDT,2023-05-29T00:00:00.000000,2023-05-30T00:00:00.000000,1.0454,1.0403,956571.6472163764,1000000.0,-5477.051846183407,-0.5477051846183407,24.0,300.0,298.5364453797589,598.5364453797589
DOGEUSDT,2022-04-15T00:00:00.000000,2023-06-03T00:00:00.000000,0.1462,0.07254,6839945.280437756,1000000.0,-497539.05990016647,-49.75390599001665,9936.0,300.0,150.873544093178,450.873544093178
FTMUSDT,2022-01-24T00:00:00.000000,2023-06-03T00:00:00.000000,2.2006,0.3232,454421.52140325366,1000000.0,-486949.12615189067,-48.69491261518907,11880.0,300.0,154.0514775977121,454.0514775977121
FTMUSDT,2022-01-24T00:00:00.000000,2023-06-06T00:00:00.000000,2.2006,0.302,454421.52140325366,1000000.0,-477603.6703601108,-47.76036703601108,11952.0,300.0,156.85595567867034,456.85595567867034
AGIXUSDT,2023-06-05T00:00:00.000000,2023-06-06T00:00:00.000000,0.2533,0.2701,1973943.939992104,500000.0,32852.3095144097,6.5704619028819415,24.0,150.0,159.94867745756017,309.94867745756017
1000PEPEUSDT,2023-06-11T00:00:00.000000,2023-06-12T00:00:00.000000,0.0009102,0.0008589,1098659635.245001,1000000.0,-56944.33091628219,-5.694433091628219,24.0,300.0,283.0916282135794,583.0916282135794
1000SHIBUSDT,2022-06-23T00:00:00.000000,2023-06-17T00:00:00.000000,0.01008,0.006963,99206349.20634921,1000000.0000000001,24116.644591611304,2.41166445916113,8616.0,300.0,307.4172185430463,607.4172185430464
MASKUSDT,2023-05-09T00:00:00.000000,2023-06-28T00:00:00.000000,3.851,3.357,259672.81225655673,1000000.0,-52814.70920383949,-5.281470920383949,1200.0,300.0,284.3308865047996,584.3308865047995
EOSUSDT,2023-04-09T00:00:00.000000,2023-06-30T00:00:00.000000,1.181,0.728,423370.0254022015,500000.0,566978.4457478004,113.39568914956008,1968.0,150.0,320.23460410557175,470.23460410557175
BNBUSDT,2022-04-14T00:00:00.000000,2023-07-03T00:00:00.000000,423.12,247.23,2363.3957269805255,1000000.0,655.0907176413,0.06550907176413,10680.0,300.0,300.37664020735457,600.3766402073545
1000PEPEUSDT,2023-06-11T00:00:00.000000,2023-07-04T00:00:00.000000,0.0009102,0.0017351,628101249.9214873,1000000.0,89191.53319515105,8.919153319515106,552.0,300.0,326.94554362163177,626.9455436216317
CFXUSDT,2023-04-02T00:00:00.000000,2023-07-05T00:00:00.000000,0.3857,0.1914,1296344.3090484834,500000.0,458480.1603206412,91.69603206412825,2256.0,150.0,287.67535070140275,437.67535070140275
EOSUSDT,2023-04-09T00:00:00.000000,2023-07-12T00:00:00.000000,1.181,0.723,423370.0254022015,500000.0,495419.00826446275,99.08380165289256,2256.0,150.0,298.76033057851237,448.76033057851237
UNIUSDT,2023-08-05T00:00:00.000000,2023-08-06T00:00:00.000000,5.984,6.096,83556.14973262032,500000.0,9055.481283422461,1.8110962566844924,24.0,150.0,152.80748663101602,302.807486631016
BCHUSDT,2022-02-16T00:00:00.000000,2023-08-06T00:00:00.000000,335.92,226.62,1488.4496308644914,499999.99999999994,141.52460030039032,0.02830492006007807,12864.0,149.99999999999997,150.13249712922885,300.1324971292288
SOLUSDT,2022-03-21T00:00:00.000000,2023-08-18T00:00:00.000000,88.85,21.934,11254.924029262804,1000000.0,-50156.1487130601,-5.01561487130601,12360.0,300.0,285.12869399428024,585.1286939942802
ETHBUSD,2023-02-07T00:00:00.000000,2023-08-22T00:00:00.000000,1636.82,1623.2,600.5717443005742,1000000.0,-25744.399067912495,-2.5744399067912496,4704.0,300.0,292.4544166046076,592.4544166046076
TRBUSDT,2022-12-30T00:00:00.000000,2023-08-27T00:00:00.000000,12.24,11.71,81699.34640522876,1000000.0,-43887.66339869273,-4.388766339869274,5760.0,300.0,287.0098039215686,587.0098039215686
APTUSDT,2023-09-01T00:00:00.000000,2023-09-02T00:00:00.000000,5.515,5.544,181323.66273798732,1000000.0,4656.80870353579,0.4656808703535791,24.0,300.0,301.57751586582043,601.5775158658205
LPTUSDT,2023-09-11T00:00:00.000000,2023-09-12T00:00:00.000000,5.961,5.854,167757.0877369569,1000000.0000000001,-18544.623385338084,-1.8544623385338082,24.0,300.0,294.61499748364366,594.6149974836437
BLZUSDT,2023-09-12T00:00:00.000000,2023-09-13T00:00:00.000000,0.13295,0.14246,7521624.67092892,1000000.0,70909.19142534769,7.090919142534768,24.0,300.0,321.4591951861601,621.4591951861601
BNBUSDT,2022-04-14T00:00:00.000000,2023-09-18T00:00:00.000000,423.12,218.18,2363.3957269805255,1000000.0,17025.307835820964,1.7025307835820964,12528.0,300.0,305.2891791044776,605.2891791044776
TRBUSDT,2022-12-30T00:00:00.000000,2023-09-24T00:00:00.000000,12.24,36.069,9492.889825520686,1000000.0,-658003.6765962293,-65.80036765962292,6432.0,300.0,102.71971293501169,402.71971293501167
